mode,hint,tag2,question,tag1,necessary_info,subtype,extra_info,cipher,archetype,vulnerability,flag,ciphertext,difficulty
,ECB mode with a short key makes brute-forcing possible. Consider the small key entropy.,,"An intern encrypted a secret in AES-ECB, using a short passcode padded with null bytes. Can you recover the flag from this ciphertext? bd8256100e2081746fd56b4b0907de0a

An encryption key that is only 2 bytes long?.",,An encryption key that is only 2 bytes long?.,weak_cookie_encryption,Padding follows PKCS#7. The key is padded to 16 bytes with null bytes.,AES-ECB,web_crypto,small key padded with null bytes,flag{qj9wsmps},bd8256100e2081746fd56b4b0907de0a,easy
,The prime used in this key exchange is small. You can recover the private key by brute-force.,,"A notorious hacker intercepted Alice and Bob's Diffie-Hellman exchange. Can you recover their shared secret from this intercepted message: 2e28fb73dfce1a188f097f574535?

The key exchange uses a prime modulus of 101 and generator 2.
Alice's public key is 24 and Bob's public key is 96.
You received a tip that the private values are at most two digits.
You got access to some of the code:
encryption_key = hashlib.sha256(str(shared_key).encode()).digest()[:16]
encrypted_flag = bytes(a ^ b for a, b in zip(flag.encode(), encryption_key))",,"The key exchange uses a prime modulus of 101 and generator 2.
Alice's public key is 24 and Bob's public key is 96.
You received a tip that the private values are at most two digits.
You got access to some of the code:
encryption_key = hashlib.sha256(str(shared_key).encode()).digest()[:16]
encrypted_flag = bytes(a ^ b for a, b in zip(flag.encode(), encryption_key))",broken_key_exchange,"secret_a=72, secret_b=74",Diffie-Hellman,web_crypto,,flag{1ga4sd8x},2e28fb73dfce1a188f097f574535,not defined
,Hex decoding is reversible. Session tokens often contain structured data.,,Acme’s web app uses a homegrown scheme for session tokens. This one holds a flag—can you break the token? Here it is: 757365725f757662783a666c61677b72656c35386732787d3a31373438313638363136,,,insecure_session_token,Token generation code: 'user_uvbx:flag{rel58g2x}:1748168616'.encode('utf-8').hex(),Insecure Session Token,web_crypto,,flag{rel58g2x},757365725f757662783a666c61677b72656c35386732787d3a31373438313638363136,easy
,Identical nonce usage breaks ECDSA security. What's common between the signatures?,,"An intern accidentally reused a nonce while signing these messages. The signatures and message hashes are below. Can you recover the private key? Sig1: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493f829c80be38c1b0ffc65ad7567277632c4bcb18db1d61a3687ae3e5daa0177447
Sig2: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493f6c946431a5746c8e59c3858605ef9a3c53caed30258e7def5127aa62bfb4722f

Public Key (x,y): (110560501110469057602792384490882252004346421066978398906047811662897278074881, 55730810777358044804909857651922069001329242300271994754301249432420188713532)
Messages:
1. CTF challenge message
2. Second signed message
Curve: secp256k1The flag format is flag{hex(private_key)}",,"Public Key (x,y): (110560501110469057602792384490882252004346421066978398906047811662897278074881, 55730810777358044804909857651922069001329242300271994754301249432420188713532)
Messages:
1. CTF challenge message
2. Second signed message
Curve: secp256k1The flag format is flag{hex(private_key)}",ecdsa_nonce_reuse,,ECDSA Nonce Reuse,signature_schemes,,flag{548aa82da77a6772a56d673976068836f7ef9b38491167e1e8a16a1187f008b2},"Sig1: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493f829c80be38c1b0ffc65ad7567277632c4bcb18db1d61a3687ae3e5daa0177447
Sig2: c050c3f0b8d45b9e093a91cb96d097b24100e66585d0d8561e01c1231837493f6c946431a5746c8e59c3858605ef9a3c53caed30258e7def5127aa62bfb4722f",not defined
,What happens when you cube small numbers? Remember e=3!,,"The admin sent secure messages signed using RSA with a low exponent. Can you forge a valid signature on 0x4811d24c6969020e5c76a3d164cc352ab43938ead5f5e156a653b5c09750d31cea90a2b55e3e874fe4c6114bfa531d33bb28d05b5bd1fe5372c72c7e83d45cc1 to impersonate the admin?

Public Key (n, e): (11111885679496353252459981865831441185289994676674978213373208088159880936421927678526026038011257155968432332089156577743359519776190394858784686567619891, 3)",,"Public Key (n, e): (11111885679496353252459981865831441185289994676674978213373208088159880936421927678526026038011257155968432332089156577743359519776190394858784686567619891, 3)",rsa_sign_with_low_public_exponent,,RSA Low-Exponent Signature,signature_schemes,,flag{iigtzqmx},0x4811d24c6969020e5c76a3d164cc352ab43938ead5f5e156a653b5c09750d31cea90a2b55e3e874fe4c6114bfa531d33bb28d05b5bd1fe5372c72c7e83d45cc1,not defined
,Caesar ciphers are easily broken by brute force or frequency analysis.,,"Julius hid secret battle orders in a coded message. Can you reveal his plans by decoding this Caesar-encrypted text? Ciphertext: bhwc{g9as1lnd}

The flag format is flag{...}",,The flag format is flag{...},caesar,The shift used is: 22,Caesar,classical_cipher,,flag{k9ew1prh},bhwc{g9as1lnd},easy
,Vigenère ciphers are vulnerable to Kasiski examination and frequency analysis.,,"An encrypted note was found at the hacker's hideout. Can you use your decryption skills and the Vigenère cipher to recover its message? Here it is: oiue{psblfdc1}

The flag format is flag{...}
The keyword is: jxuyrmy",,"The flag format is flag{...}
The keyword is: jxuyrmy",vigenere,,Vigenère,classical_cipher,,flag{ygdcije1},oiue{psblfdc1},not defined
,Playfair is vulnerable to digraph frequency analysis.,,"An old journal page hides a secret phrase. Decipher the message below using the Playfair cipher: pmhofswrbhgbhqihlqfqfswrbhlbnybfovfyihcpcopohofswrbhgbhqihbqabhcuxsfbvdgdhqgmbdobgwqqmpoomamqdnyhsunfhcoihrhlbogmqilsfemxgchkvcaqmnzqmpobmwpilrfcfhbznirtu

The flag format is flag{...}
The keyword is: xlfrgksg",,"The flag format is flag{...}
The keyword is: xlfrgksg",playfair,"The playfair table is [['x', 'l', 'f', 'r', 'g'], ['k', 's', 'a', 'b', 'c'], ['d', 'e', 'h', 'i', 'm'], ['n', 'o', 'p', 'q', 't'], ['u', 'v', 'w', 'y', 'z']]",Playfair,classical_cipher,,flag{iautbynz},pmhofswrbhgbhqihlqfqfswrbhlbnybfovfyihcpcopohofswrbhgbhqihbqabhcuxsfbvdgdhqgmbdobgwqqmpoomamqdnyhsunfhcoihrhlbogmqilsfemxgchkvcaqmnzqmpobmwpilrfcfhbznirtu,not defined
,Hill ciphers can be broken using known-plaintext attacks and linear algebra mod 26.,,"
Agent N sent a secret plan hidden with the Hill cipher. Recover the message from the ciphertext: wylzoufadqznnaqmhwwxfkhjzzphozhwmsgdbsgdoiecvgjjieuuzaokxodpkirdwrntup


The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",,"The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: welcome to the ancient library. hidden within these words is your key: ",hill,"The matrix used is: [[5, 17], [25, 18]]",Hill,classical_cipher,,flag{ihcbbfkj},wylzoufadqznnaqmhwwxfkhjzzphozhwmsgdbsgdoiecvgjjieuuzaokxodpkirdwrntup,not defined
,Rail Fence is a simple transposition cipher vulnerable to reconstruction by analyzing positions.,,"
A hacker encoded the server password using a zigzag pattern. Can you decipher f{j2lgdqlw}anz to access the hidden files?


The flag format is flag{...}",,The flag format is flag{...},rail_fence,The rails value is: 3,Rail Fence,classical_cipher,,flag{dnqjlzw2},f{j2lgdqlw}anz,not defined
,Simple substitution ciphers are susceptible to frequency analysis.,,"An ancient alchemist's note reads ti dcsuhylcnufs, n xbqxhthbhtyi dtufmc tx n vmhfyk yg midcsuhtil ti aftdf bithx yg uentihmwh ncm cmuendmk athf hfm dtufmchmwh, ti n kmgtimk vniimc, athf hfm fmeu yg n jms; hfm ""bithx"" vns qm xtilem emhhmcx (hfm vyxh dyvvyi), untcx yg emhhmcx, hctuemhx yg emhhmcx, vtwhbcmx yg hfm nqyzm, nik xy gychf. hfm cmdmtzmc kmdtufmcx hfm hmwh qs umcgycvtil hfm tizmcxm xbqxhthbhtyi ucydmxx hy mwhcndh hfm yctltine vmxxnlm. etjmatxm, rndobmx obtdjes ptuumk hfcyblf n obmxhtyi yi pmcy-jiyaemklm ucyygx, mixbctil iy dcthtdne emhhmc anx emgh ybh yg ybc dcsuhylcnuftd ubppem.genl{qzfrpxr7}. Can you reveal the hidden recipe by breaking the simple substitution cipher?

The flag format is flag{...}",,The flag format is flag{...},substitution,"The substitution map is: {'a': 'n', 'b': 'q', 'c': 'd', 'd': 'k', 'e': 'm', 'f': 'g', 'g': 'l', 'h': 'f', 'i': 't', 'j': 'r', 'k': 'j', 'l': 'e', 'm': 'v', 'n': 'i', 'o': 'y', 'p': 'u', 'q': 'o', 'r': 'c', 's': 'x', 't': 'h', 'u': 'b', 'v': 'z', 'w': 'a', 'x': 'w', 'y': 's', 'z': 'p'}",Substitution,classical_cipher,,flag{bvhjzsj7},"ti dcsuhylcnufs, n xbqxhthbhtyi dtufmc tx n vmhfyk yg midcsuhtil ti aftdf bithx yg uentihmwh ncm cmuendmk athf hfm dtufmchmwh, ti n kmgtimk vniimc, athf hfm fmeu yg n jms; hfm ""bithx"" vns qm xtilem emhhmcx (hfm vyxh dyvvyi), untcx yg emhhmcx, hctuemhx yg emhhmcx, vtwhbcmx yg hfm nqyzm, nik xy gychf. hfm cmdmtzmc kmdtufmcx hfm hmwh qs umcgycvtil hfm tizmcxm xbqxhthbhtyi ucydmxx hy mwhcndh hfm yctltine vmxxnlm. etjmatxm, rndobmx obtdjes ptuumk hfcyblf n obmxhtyi yi pmcy-jiyaemklm ucyygx, mixbctil iy dcthtdne emhhmc anx emgh ybh yg ybc dcsuhylcnuftd ubppem.genl{qzfrpxr7}",not defined
,Columnar transposition ciphers can be broken by analyzing column lengths and patterns.,,"A hacker scrambled the password to the vault with a transposition cipher. Can you reorder the jumbled message and retrieve the code? Ciphertext: npryrptcelnaetop)moeyoicbtoioat(nsoiuanerehesaoiirortpntplhcsrshcsciogrtodahehietotlt.yfruiiirhdtnhsousltbnaatntseetefneeaoinbtoei,yonbdisiceihFcecliqinpnhltonadritaA.gb9cta,aoiirsosranhiednpncrlhsofretsinttngcarel.nsopsruslt(ilatoooat)onausepucexisranhaeTdeobtopsiocgeinnoaeusdnhihessedectnnsodsunrotafci,ntcirkeGiroegutctmoihdAnEyoarEf{ebIyghtsinhaknpuiirahfrihsmsptshcsaoiwohihattserptceeeifixyacargpcarcdteastoeptwhpuifpnteffsttcewhoatoiftpntieheusmvDihfeberptauiiptseeemesirlhltDXhrph-leyotsemrvectSd()agqropansop(owamtcestoctwhaeeincarrpt)hcgthcsmvTsinhrdnoaetcyrerufreargrlymrcirtcamtoeixhirmsunh,cnheptoifixttcgetel.ptirewtsinsttoanhrtonahoapseAVpomxhayriedkeedcnpnndSlki}

The flag format is flag{...}",,The flag format is flag{...},transposition,"The key length is 4, and the key order is [1, 2, 0, 3].",Transposition,classical_cipher,,flag{kgbeiq9b},"npryrptcelnaetop)moeyoicbtoioat(nsoiuanerehesaoiirortpntplhcsrshcsciogrtodahehietotlt.yfruiiirhdtnhsousltbnaatntseetefneeaoinbtoei,yonbdisiceihFcecliqinpnhltonadritaA.gb9cta,aoiirsosranhiednpncrlhsofretsinttngcarel.nsopsruslt(ilatoooat)onausepucexisranhaeTdeobtopsiocgeinnoaeusdnhihessedectnnsodsunrotafci,ntcirkeGiroegutctmoihdAnEyoarEf{ebIyghtsinhaknpuiirahfrihsmsptshcsaoiwohihattserptceeeifixyacargpcarcdteastoeptwhpuifpnteffsttcewhoatoiftpntieheusmvDihfeberptauiiptseeemesirlhltDXhrph-leyotsemrvectSd()agqropansop(owamtcestoctwhaeeincarrpt)hcgthcsmvTsinhrdnoaetcyrerufreargrlymrcirtcamtoeixhirmsunh,cnheptoifixttcgetel.ptirewtsinsttoanhrtonahoapseAVpomxhayriedkeedcnpnndSlki}",not defined
,"Autokey ciphers are vulnerable once enough plaintext is known, allowing reconstruction of the key.",,"Rumors say the hacker's passphrase is hidden in this encrypted clue, protected by an evolving key: se kdku pesg, aug rwwtymprt gpscymmkz neaeiel eifbsi genugz.fwmu{7gpxodhy}. Can you decrypt the message and reveal the secret?

The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: In each case, the resulting plaintext appears almost random.
The seed lenght is 4 and only alphabetic characters count.",,"The flag format is flag{...}
You got a tip from a friend that the encrypted message starts with: In each case, the resulting plaintext appears almost random.
The seed lenght is 4 and only alphabetic characters count.",autokey,The key seed is: krgd,Autokey,classical_cipher,,flag{7owkxduv},"se kdku pesg, aug rwwtymprt gpscymmkz neaeiel eifbsi genugz.fwmu{7gpxodhy}",not defined
,The message is encoded multiple times with Base64. Decode iteratively to recover the original flag.,,"An agent left a secret clue. Decode Vm0wd2VHUXhUblJWV0d4WFlURndVRlpzWkc5V1JteFZVMnhPYWxKc1NsWldSM1JQWVcxS1IxZHVhRlpOYmtKVVdWZDRTMk15VGtsaFJscE9ZV3RGZUZkWGRHdFRNVTVYVW01S1dHSkdjRTlXYWtwdlRXeGtWMXBJY0d4U01EVjZWMnRvUjFVeVNrZFhiR2hYWWxoU1lWcFhlR0ZXYkdSeVYyeENWMkV3Y0ZSV1ZWcFNaREZDVWxCVU1EMD0= using Base64 to reveal their meeting location.

The flag format is flag{...}",,The flag format is flag{...},base64_layered,Encoded 9 times in total.,Base64,classical_cipher,,flag{bmhlwmlj},Vm0wd2VHUXhUblJWV0d4WFlURndVRlpzWkc5V1JteFZVMnhPYWxKc1NsWldSM1JQWVcxS1IxZHVhRlpOYmtKVVdWZDRTMk15VGtsaFJscE9ZV3RGZUZkWGRHdFRNVTVYVW01S1dHSkdjRTlXYWtwdlRXeGtWMXBJY0d4U01EVjZWMnRvUjFVeVNrZFhiR2hYWWxoU1lWcFhlR0ZXYkdSeVYyeENWMkV3Y0ZSV1ZWcFNaREZDVWxCVU1EMD0=,easy
,"Morse Code represents each letter as a series of dots and dashes. Spaces separate letters, and slashes separate words.",,"An old radio operator left behind a mysterious broadcast. Can you decode his final message written in Morse Code? Ciphertext: ..-. .-.. .- --. { --... -.- .... --- .... --... -.- .. }

The flag format is flag{...}",,The flag format is flag{...},morse_code,"Morse Code follows international standards, with letters separated by spaces and words separated by slashes.",Morse Code,classical_cipher,,flag{7khoh7ki},..-. .-.. .- --. { --... -.- .... --- .... --... -.- .. },not defined
,"Each ASCII character is represented as a sum of non-consecutive Fibonacci numbers, always ending in 1.",,"
A mysterious wallet address arrived encoded in a Fibonacci-based code. Decode 10001000001 10001010011 10000100001 10001000011 10100000001 10001000101 10001000011 10001001011 10000100001 10001001011 10010101001 101000101 101010001 10100000101 to reveal the address and unlock the hidden funds.


The flag format is flag{...}",,The flag format is flag{...},fibonacci_encoding,Each character of the flag is independently encoded using Fibonacci representation.,Fibonacci Encoding,classical_cipher,,flag{hgjajy14},10001000001 10001010011 10000100001 10001000011 10100000001 10001000101 10001000011 10001001011 10000100001 10001001011 10010101001 101000101 101010001 10100000101,not defined
,XOR is undone by XORing again with the same key. (A XOR B = C ⇒ C XOR B = A),,"Agent Z hid the access code using an XOR cipher. Recover it from this encrypted string: stringA: 133a1652131e310b31003a445c2b stringB: 755677356871476f54374c776b56

The flag format is flag{...}",,The flag format is flag{...},XOR,Both strings are in hex. XOR the two provided hex strings to recover the flag.,XOR,classical_cipher,,flag{ovde7v37},stringA: 133a1652131e310b31003a445c2b stringB: 755677356871476f54374c776b56,easy
,Use a Base64 decoder to obtain the original text.,,"An agent encoded critical coordinates using Base64 before disappearing. The only clue left was: ZmxhZ3t5c3NsMnF1aX0=

The flag format is flag{...}",,The flag format is flag{...},Base64,Decoding is direct; no additional layers or tricks.,Base64,classical_cipher,,flag{yssl2qui},ZmxhZ3t5c3NsMnF1aX0=,easy
,The message is encoded multiple times with Base64. Decode iteratively to recover the original flag.,,"Decode the secret launch code intercepted from enemy transmission: Vm0wd2QyVkhVWGhVYmxKV1YwZDRXRmxVUm5kVlJscHpXa2M1VjFKdGVGWlZNbmhQWVd4S2MxTnNXbGRTTTFKUVdWZDRZV1JXUm5OaVIwWlRWakZLU1ZkV1kzaFRNVTVJVm10c2FsSnVRbGhXYWtGNFRrWmtXR1JIUmxSTmF6RTBWa2MxVjJGc1NuUlZiR2hoVmpOb2FGWkdXbXRXTVZaeVUyMTRVMDFFUlRCV01uUnZVakZWZVZOclpGaGlSMmhZV1d4b1UxbFdjRmhsUjBaWFlrZFNlVll5ZUVOV01rVjNZMFpTVjFaV2NGTmFSRVpEVld4Q1ZVMUVNRDA9

The flag format is flag{...}",,The flag format is flag{...},Base64_layered,Encoded 10 times in total.,Base64,classical_cipher,,flag{5vlu590z},Vm0wd2QyVkhVWGhVYmxKV1YwZDRXRmxVUm5kVlJscHpXa2M1VjFKdGVGWlZNbmhQWVd4S2MxTnNXbGRTTTFKUVdWZDRZV1JXUm5OaVIwWlRWakZLU1ZkV1kzaFRNVTVJVm10c2FsSnVRbGhXYWtGNFRrWmtXR1JIUmxSTmF6RTBWa2MxVjJGc1NuUlZiR2hoVmpOb2FGWkdXbXRXTVZaeVUyMTRVMDFFUlRCV01uUnZVakZWZVZOclpGaGlSMmhZV1d4b1UxbFdjRmhsUjBaWFlrZFNlVll5ZUVOV01rVjNZMFpTVjFaV2NGTmFSRVpEVld4Q1ZVMUVNRDA9,easy
,Use a Base85 decoder to retrieve the original text.,,"An old hacker left a Base85-encoded password on the darknet: W^7?+dv9=gdN?&WbbS. Can you decode it to access their hidden vault?

The flag format is flag{...}",,The flag format is flag{...},Base85,Decoding is straightforward; only one layer is used.,Base85,classical_cipher,,flag{opyz858t},W^7?+dv9=gdN?&WbbS,easy
,The message is encoded multiple times with Base85. Decode iteratively to recover the original flag.,,"A secret Base85 message was intercepted from a hacker planning a cyber-heist. Crack the code below to uncover their next move: Q8+ttdr@OIG*C!rHB%->JZW-vRbX^$SWH$(Vn<;(a9}h|OJyl*S7;+QI97CWHf>f+GiFCgT4_H

The flag format is flag{...}",,The flag format is flag{...},Base85_layered,Encoded 7 times in total.,Base85,classical_cipher,,flag{8ej0qp6y},Q8+ttdr@OIG*C!rHB%->JZW-vRbX^$SWH$(Vn<;(a9}h|OJyl*S7;+QI97CWHf>f+GiFCgT4_H,easy
,Use the provided substitution table to restore each letter of the ciphertext to the original plaintext.,,"A suspicious message found on an old server contains a string that looks encrypted. Can you decrypt this substitution cipher?grma{iwl1922t}

The flag format is flag{...}

Below is the substitution table mapping plaintext letters to ciphertext letters:
{'a': 'm', 'b': 'e', 'c': 'q', 'd': 'j', 'e': 'u', 'f': 'g', 'g': 'a', 'h': 'w', 'i': 't', 'j': 'f', 'k': 'n', 'l': 'r', 'm': 'y', 'n': 'z', 'o': 'c', 'p': 'v', 'q': 'k', 'r': 'x', 's': 'l', 't': 'd', 'u': 's', 'v': 'b', 'w': 'i', 'x': 'o', 'y': 'h', 'z': 'p'}",,"The flag format is flag{...}

Below is the substitution table mapping plaintext letters to ciphertext letters:
{'a': 'm', 'b': 'e', 'c': 'q', 'd': 'j', 'e': 'u', 'f': 'g', 'g': 'a', 'h': 'w', 'i': 't', 'j': 'f', 'k': 'n', 'l': 'r', 'm': 'y', 'n': 'z', 'o': 'c', 'p': 'v', 'q': 'k', 'r': 'x', 's': 'l', 't': 'd', 'u': 's', 'v': 'b', 'w': 'i', 'x': 'o', 'y': 'h', 'z': 'p'}",substitution_direct,Letters outside [a-zA-Z] are left unchanged. Case is preserved by converting letters back to uppercase if needed.,Substitution,classical_cipher,,flag{whs1922i},grma{iwl1922t},not defined
,"Atbash reverses the alphabet (A ↔ Z, B ↔ Y, etc.).",,"An archaeologist finds a coded message in an ancient scroll. Can you reveal its hidden meaning by deciphering the following Atbash-encrypted text? uozt{t6vqf6de}

The flag format is flag{...}",,The flag format is flag{...},atbash,,Atbash,classical_cipher,,flag{g6eju6wv},uozt{t6vqf6de},easy
,Hex encoding represents bytes as pairs of 0-9 and a-f.,,"
The old hacker left a secret in his code repository. Decode this Hex-encoded message: 666c61677b71647676307667397d


The flag format is flag{...}",,The flag format is flag{...},hex,,Hex,classical_cipher,,flag{qdvv0vg9},666c61677b71647676307667397d,easy
,The ASCII values of each character have been shifted by some small amount (1–10).,,"A rogue developer hid the unlock code for the secret vault using an ASCII Shift cipher. Can you decode their message? Ciphertext: ntio9kry8;

The flag format is flag{...}",,The flag format is flag{...},ascii_shift,Shift used: 8,ASCII Shift,classical_cipher,,flag{1cjq0yy3},ntio9kry8;,easy
,Numbers are used to break up the flag. The original flag uses only letters.,,"A hacker left a mysterious note, encrypted with SplitNumberMix cipher. Can you break it to reveal the secret code? Ciphertext:  22222222 flag{yl 22222222 cvufjm} 22222222 

The flag format is flag{...}",,The flag format is flag{...},split_flag,Split into 2 parts with numeric sequences of length 2–5 randomly inserted.,SplitNumberMix,classical_cipher,,flag{ylcvufjm}, 22222222 flag{yl 22222222 cvufjm} 22222222 ,easy
,The original message has simply been reversed.,,"The hacker left a clue in a reversed message. Can you decipher }nn628fyq{galf and reveal the password?

The flag format is flag{...}",,The flag format is flag{...},reversed_flag,Reverse the entire string to get the original flag.,Reverse,classical_cipher,,flag{qyf826nn},}nn628fyq{galf,easy
,The flag is split into parts of 2–3 letters with spaces.,,"The flag was split and encrypted using the secret ChunkedFlag cipher before transmission. Can you reconstruct it from this intercepted message? fla g{ ng n85 pui }

The flag format is flag{...}",,The flag format is flag{...},chunked_flag,Remove the spaces to recover the original flag.,ChunkedFlag,classical_cipher,,flag{ngn85pui},fla g{ ng n85 pui },easy
,Small primes are easily factorable with typical factoring algorithms.,,"You intercepted a secret message hidden with RSA, but the sender carelessly used very small primes. Can you break the weak encryption? Ciphertext: 1174962250832423862

The flag format is flag{...}
n=12227727002236536683, e=6127229194806649693",,"The flag format is flag{...}
n=12227727002236536683, e=6127229194806649693",small_primes,"p=3304534097, q=3700287739, φ(n)=12227726995231714848",RSA,rsa,small primes,flag{jntwuk0a},1174962250832423862,not defined
,The RSA modulus n is a perfect square. This often indicates a repeated prime usage vulnerability.,,"
A careless admin reused a prime to encrypt two secret messages via RSA. Decrypt the hidden flag: 1038540490870289641512950553908485515429935320915702990287990194548851306885903686755270229225149914100618335427817186243054420666563507021752377011440178438297120283299596004833261509197977204855271892326881104983529861705807208378


The flag format is flag{...}
n=1182743613171349335976761738103876849184807230975958887112578636187423899835855170660273373275963480237494637468094133000543250983102588056595111507164018685381768157299875756202160021874654734730418176417552749141514702214500854441, e=855676497078663225792731955057558512747140123510590764680061265927932727057948440962668510955345876224555226960559471721269761603388570272228020776459154500635145935304393730581171542654414953832798180275815658680060155116687645313",,"The flag format is flag{...}
n=1182743613171349335976761738103876849184807230975958887112578636187423899835855170660273373275963480237494637468094133000543250983102588056595111507164018685381768157299875756202160021874654734730418176417552749141514702214500854441, e=855676497078663225792731955057558512747140123510590764680061265927932727057948440962668510955345876224555226960559471721269761603388570272228020776459154500635145935304393730581171542654414953832798180275815658680060155116687645313",repeated_prime_usage,"p=34391039722162360585533439272274614599029157437010769706526139804093001251855589282631824048450919704636909212969229, q=34391039722162360585533439272274614599029157437010769706526139804093001251855589282631824048450919704636909212969229, φ(n)=1182743613171349335976761738103876849184807230975958887112578636187423899835855170660273373275963480237494637468094064218463806658381416989716566957934820627066894135760462703922551835872151023551852912769455847302105428396074915984",RSA,rsa,repeated primes,flag{1odqeyil},1038540490870289641512950553908485515429935320915702990287990194548851306885903686755270229225149914100618335427817186243054420666563507021752377011440178438297120283299596004833261509197977204855271892326881104983529861705807208378,not defined
,A partial exposure of a prime number's bits can significantly weaken RSA security. Look into lattice-based techniques like Coppersmith's attack.,,"Someone leaked half of my secret RSA key—can you use it to decrypt this 4825935763734234920038786575363435975594020624480581984568017697004975434025534347473943532688459293817900714716064001917684019512134404047717779006487015 and uncover my hidden message?

The flag format is flag{...}
n=11645373129617273521581875360858315826871846295013152518253968383212458087326868431430960914000389285689567283930247695762630898856440466532503705293456323, e=5050168421402144339355048489584799970805796569440521847776203876531026663067859473037339392701624344244748806225743638993062025772167777995381762671073787, partial_p=17128728095137940813",,"The flag format is flag{...}
n=11645373129617273521581875360858315826871846295013152518253968383212458087326868431430960914000389285689567283930247695762630898856440466532503705293456323, e=5050168421402144339355048489584799970805796569440521847776203876531026663067859473037339392701624344244748806225743638993062025772167777995381762671073787, partial_p=17128728095137940813",partial_key_exposure,"p=107518768850956963009869599219013095158966336220358926193279242354640125683973, q=108310142071661423437379457461112324704631366374537048524667594191978133926951, φ(n)=11645373129617273521581875360858315826871846295013152518253968383212458087326652602520038295613942036632887158510384098060036002881722519695957087033845400",RSA,rsa,partial key exposure,flag{w2bgykhv},4825935763734234920038786575363435975594020624480581984568017697004975434025534347473943532688459293817900714716064001917684019512134404047717779006487015,not defined
,"When two RSA moduli share a common factor, computing GCD(n1, n2) can reveal the shared prime factor.",,"
Two careless admins reused primes to generate their RSA keys. An intercepted message awaits: ciphertext1: 591840365937625695464134247155315798019768811340969638454685194906751423811522292362800024822678917599399477711350795627102737806992463794636323595691392018229008882112602356159179785979073024437187873736762965894019754854337465371, ciphertext2: 198466449568380932124052836312210814468554954710716696473665693118358320191728013040607872633499889248664519417825979320985197537170980373877891651988673543794503559448791094151924234172449039300720713316383029085735695282030916733


The flag format is flag{...}
n1=662508343185999629971300085861364067117000688355689391434871096869612056835102037284952407722138025141505552822640220214618856288937618907767442234723122820107184145108900253981204810547935787426440610687737075330225043357344753677, n2=809863551703261966207537748609747238485909603107604458085758753380020485343570005665841954805581620894055585429065817749408065264694304106830842549084768916877328805663670136006796474259678653050955039505006114095355944203371713991, e=343649794179583276787673455642753105335690322056290630961014642729041994557202795025785297707276211634041246435496592258703140468764095029187295801310907989042887478907776832294444677700162075212682396909366387057276109231435576357",,"The flag format is flag{...}
n1=662508343185999629971300085861364067117000688355689391434871096869612056835102037284952407722138025141505552822640220214618856288937618907767442234723122820107184145108900253981204810547935787426440610687737075330225043357344753677, n2=809863551703261966207537748609747238485909603107604458085758753380020485343570005665841954805581620894055585429065817749408065264694304106830842549084768916877328805663670136006796474259678653050955039505006114095355944203371713991, e=343649794179583276787673455642753105335690322056290630961014642729041994557202795025785297707276211634041246435496592258703140468764095029187295801310907989042887478907776832294444677700162075212682396909366387057276109231435576357",common_factors,"p=20347201158820352484596330778783341653410914004948111432924826267323206984791659467003417946897078505496227193952301, q=32560170709218523028036404535955803098640588115295206309212503276617530300507435053118827530007501711295385439476577, r=24872828798590150547193764806218718838530735309684304345065435330443487733297250217402487903066802515736973750905383, φ(n1)=662508343185999629971300085861364067117000688355689391434871096869612056835102037284952407722138025141505552822640167307246988250062106275032127495578370768605063901791158116651660869810650488331920488442260170750008251744711324800, φ(n2)=809863551703261966207537748609747238485909603107604458085758753380020485343570005665841954805581620894055585429065760316408557456020728876661500374562831745553903826153015858068189413241644848365684518189573039791128911844181332032",RSA,rsa,common factors,flag{v7xq6jv7},"ciphertext1: 591840365937625695464134247155315798019768811340969638454685194906751423811522292362800024822678917599399477711350795627102737806992463794636323595691392018229008882112602356159179785979073024437187873736762965894019754854337465371, ciphertext2: 198466449568380932124052836312210814468554954710716696473665693118358320191728013040607872633499889248664519417825979320985197537170980373877891651988673543794503559448791094151924234172449039300720713316383029085735695282030916733",not defined
